id,number,handle,name,description,registrar_id,registrar_name,org_id,org_name,is_active,is_assigned,acquired_time
76,65506,AS65506,CORP-TASMAN-65506,"Tasman Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
77,65513,AS65513,CORP-MIAMI-65513,"Miami Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
78,65507,AS65507,CORP-OSHKOSH-65507,"Oshkosh Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
79,65505,AS65505,CORP-SANFRAN-65505,"San Francisco Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
80,65509,AS65509,CORP-WASHDC-65509,"Washington DC Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
81,65510,AS65510,CORP-DENVER-65510,"Denver Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
82,65511,AS65511,CORP-NYSTUDIO-65511,"NY Studio Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
83,65060,AS65060,65060,"Black Hole Router ASN",774,ARIN,790,"ARIN YAHO",1,1,1304640000
84,65515,AS65515,CORP-NE1-65515,"Corp-NE1 ASN",774,ARIN,786,"ARIN YAHOO",1,1,1310601600
85,65047,AS65047,65047,"ASR (TAR) Routers",774,ARIN,790,"ARIN YAHO",1,1,1317859200
86,65070,AS65070,65070,"OOB Hub Site - BFR",774,ARIN,790,"ARIN YAHO",1,1,2012
87,65071,AS65071,65071,"OOB Hub Site - GQR",774,ARIN,790,"ARIN YAHO",1,1,1326326400
88,65072,AS65072,65072,"OOB Hub Site - SGR",774,ARIN,790,"ARIN YAHO",1,1,1326326400
89,65073,AS65073,65073,"OOB Hub Site - KRR",774,ARIN,790,"ARIN YAHO",1,1,1326326400
90,65074,AS65074,65074,"OOB Hub Site - UKR",774,ARIN,790,"ARIN YAHO",1,1,1326326400
91,65075,AS65075,65075,"OOB Hub Site - IRR",774,ARIN,790,"ARIN YAHO",1,1,1326326400
92,58525,AS58525,Unused,"Unused ASN",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,0,2012
93,53472,AS53472,53472,DCA,774,ARIN,783,"ARIN YAHOO-1",1,1,2012
94,65090,AS65090,freebsd.org,"freebds hosted in SNV",774,ARIN,775,"ARIN YAOO",1,1,1335139200
95,65310,AS65310,65310,"Reserved for Corp Backbone",774,ARIN,786,"ARIN YAHOO",1,1,1340668800
96,65535,AS65535,65535,"Backbone extended community ASN",774,ARIN,786,"ARIN YAHOO",1,1,1343779200
97,65096,AS65096,YAHOO-CTW1,Corp-TW1,777,APNIC,865,"APNIC MAINT-YAHOOISNET-HK",1,1,1345593600
98,58720,AS58720,58720,AUB,777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1350000000
99,58721,AS58721,58721,AUC,777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1350000000
100,64512,AS64512,64512,"Openstack Testing Environment",774,ARIN,790,"ARIN YAHO",1,1,1970
101,23663,AS23663,23663,CORP-EOC,777,APNIC,865,"APNIC MAINT-YAHOOISNET-HK",1,1,1352073600
102,65076,AS65076,65076,"IR2 corp in colo",776,RIPE,805,"RIPE YEU-RIPE",1,1,1353024000
103,33612,AS33612,TUMBLR,"Tumblr NJ DC ASN",774,ARIN,785,"ARIN YHOO",1,1,1378771200
104,65100,AS65100,65100,"bysodc.corp CER to TAR",774,ARIN,790,"ARIN YAHO",1,1,1381190400
105,65101,AS65101,65101,"hclodc.corp CER to TAR",774,ARIN,790,"ARIN YAHO",1,1,1381190400
106,65102,AS65102,65103,FREE,774,ARIN,790,"ARIN YAHO",1,1,1970
107,65114,AS65114,65114,"champ.corp CER to TAR",774,ARIN,786,"ARIN YAHOO",1,1,1381449600
108,65009,AS65009,65009,Corp-AUE,774,ARIN,786,"ARIN YAHOO",1,1,1381881600
109,65107,AS65107,65107,"toronto.corp CER to TAR",774,ARIN,786,"ARIN YAHOO",1,1,1382227200
110,65119,AS65119,65119,"montreal.corp CER to TAR",774,ARIN,786,"ARIN YAHOO",1,1,1382227200
111,65319,AS65319,65319,"budapest.corp CER to TAR",776,RIPE,805,"RIPE YEU-RIPE",1,1,1382227200
112,65399,AS65399,65399,"NEX factory",774,ARIN,785,"ARIN YHOO",1,1,1383696000
113,65307,AS65307,65307,"telaviv.corp CER to TAR",776,RIPE,805,"RIPE YEU-RIPE",1,1,1384473600
114,65304,AS65304,65304,"dubai.corp CER to TAR",776,RIPE,805,"RIPE YEU-RIPE",1,1,1384473600
115,65309,AS65309,65309,"Milan.corp CER to TAR",776,RIPE,805,"RIPE YEU-RIPE",1,1,1384560000
116,65313,AS65313,65313,"Madrid.corp CER to TAR",776,RIPE,805,"RIPE YEU-RIPE",1,1,1384560000
117,65103,AS65103,65103,FREE,774,ARIN,790,"ARIN YAHO",1,1,2013
118,65104,AS65104,65104,FREE,774,ARIN,790,"ARIN YAHO",1,1,2013
119,65105,AS65105,65105,"PSPL ODC corp-to-prod rfc1918 (CER)",774,ARIN,790,"ARIN YAHO",1,1,1384732800
120,65002,AS65002,65002,"TAR -- MEXICODF",774,ARIN,785,"ARIN YHOO",1,1,1384992000
121,65106,AS65106,AS65106,"TAR ----- Manila",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386547200
122,65108,AS65108,65108,"jakarta.corp CER ---- TAR",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386633600
123,65109,AS65109,65109,"auckland.corp CER ---- TAR",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386633600
124,65521,AS65521,65521,"malaysia.corp CER ---- TAR",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386633600
125,65518,AS65518,65518,"btpws.corp CER ---- TAR",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386633600
126,65110,AS65110,65110,"hcmc.corp CER ---- TAR",777,APNIC,801,"APNIC MAINT-AP-YAHOO-INC",1,1,1386633600
127,65120,AS65120,65120,"Corp.bgv Cer- Tar",776,RIPE,785,"ARIN YHOO",1,1,1390953600
128,64848,AS64848,64848,"Datacenter Crypto ASN - to be used between MSR and CRY boxes",774,ARIN,790,"ARIN YAHO",1,1,1390953600
129,65121,AS65121,65121,"Corp-hfa, Cer  Tar",776,RIPE,786,"ARIN YAHOO",1,1,1391644800
130,65122,AS65122,65122,"Corp-SCL, Cer Tar",774,ARIN,786,"ARIN YAHOO",1,1,2014
131,65534,AS65534,AS65534,"Staging Test Lab Environment",774,ARIN,786,"ARIN YAHOO",1,1,1408579200
132,65025,AS65025,65025,"for Mail SMTP MTA anti-spam",774,ARIN,786,"ARIN YAHOO",1,1,1409616000
133,65400,AS65400,65400,"GQX Factory",774,ARIN,786,"ARIN YAHOO",1,1,1426032000
134,65514,AS65514,CORP-LASMC-65514,"Santa Monitca Corp ASN",774,ARIN,790,"ARIN YAHO",1,1,1426723200
